Max profit 3333
 at price 1: 967, price 2: 934
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 901 Profit 2: 99, Volume 2: 1, Total Profit: 99
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 902 Profit 2: 98, Volume 2: 2, Total Profit: 196
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 903 Profit 2: 97, Volume 2: 3, Total Profit: 291
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 904 Profit 2: 96, Volume 2: 4, Total Profit: 384
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 905 Profit 2: 95, Volume 2: 5, Total Profit: 475
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 906 Profit 2: 94, Volume 2: 6, Total Profit: 564
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 907 Profit 2: 93, Volume 2: 7, Total Profit: 651
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 908 Profit 2: 92, Volume 2: 8, Total Profit: 736
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 909 Profit 2: 91, Volume 2: 9, Total Profit: 819
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 910 Profit 2: 90, Volume 2: 10, Total Profit: 900
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 911 Profit 2: 89, Volume 2: 11, Total Profit: 979
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 912 Profit 2: 88, Volume 2: 12, Total Profit: 1056
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 913 Profit 2: 87, Volume 2: 13, Total Profit: 1131
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 914 Profit 2: 86, Volume 2: 14, Total Profit: 1204
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 915 Profit 2: 85, Volume 2: 15, Total Profit: 1275
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 916 Profit 2: 84, Volume 2: 16, Total Profit: 1344
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 917 Profit 2: 83, Volume 2: 17, Total Profit: 1411
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 918 Profit 2: 82, Volume 2: 18, Total Profit: 1476
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 919 Profit 2: 81, Volume 2: 19, Total Profit: 1539
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 920 Profit 2: 80, Volume 2: 20, Total Profit: 1600
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 921 Profit 2: 79, Volume 2: 21, Total Profit: 1659
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 922 Profit 2: 78, Volume 2: 22, Total Profit: 1716
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 923 Profit 2: 77, Volume 2: 23, Total Profit: 1771
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 924 Profit 2: 76, Volume 2: 24, Total Profit: 1824
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 925 Profit 2: 75, Volume 2: 25, Total Profit: 1875
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 926 Profit 2: 74, Volume 2: 26, Total Profit: 1924
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 927 Profit 2: 73, Volume 2: 27, Total Profit: 1971
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 928 Profit 2: 72, Volume 2: 28, Total Profit: 2016
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 929 Profit 2: 71, Volume 2: 29, Total Profit: 2059
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 930 Profit 2: 70, Volume 2: 30, Total Profit: 2100
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 931 Profit 2: 69, Volume 2: 31, Total Profit: 2139
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 932 Profit 2: 68, Volume 2: 32, Total Profit: 2176
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 933 Profit 2: 67, Volume 2: 33, Total Profit: 2211
